id,name_eng,country,lon,lat,name_ua,name_ru
697018,Pobugskoye,UA,30.592739,48.165791,Побузьке,Побугское
697038,Pniv,UA,24.528721,48.617828,Пнів,Пнев
697126,Plakhtiyivka,UA,29.721689,46.100601,Плахтіївка,Плахтиевка
697230,Pylypets,UA,23.35191,48.667679,Пилипець,Пилипец
697325,Petrove,UA,33.256168,48.324669,Петрове,Петрово
697423,Petropavlivka,UA,36.436699,48.456429,Петропавлівка,Петропавловка
697450,Petrivka,UA,30.959141,46.969509,Петрівка,Петровка
697455,Petrykivka,UA,34.635132,48.729778,Петриківка,Петриковка
697457,Petrikov,UA,25.57901,49.531219,Петриків,Петриков
697473,Petranka,UA,24.303471,48.902458,Петранка,Петранка
697489,Piskivka,UA,29.619341,50.693779,Пісківка,Песковка
697543,Peschana,UA,29.73086,48.129181,Піщана,Песчаная
697568,Pervomayske,UA,33.855961,45.717442,Первомайське,Первомайское
697608,Pershotravneve,UA,28.86837,51.392872,Першотравневе,Першотравневое
697676,Peresichna,UA,35.98259,50.024132,Пересічне,Пересечное
697739,Perehonivka,UA,30.51923,48.535519,Перегонівка,Перегоновка
697802,Pechenizhyn,UA,24.89423,48.515511,Печеніжин,Печенежин
697817,Pavlysh,UA,33.356911,48.917622,Павлиш,Павлыш
697839,Pavlivka,UA,38.709171,49.608639,Павлівка,Павловка
697841,Pavlovka,UA,28.45956,49.441429,Павлівка,Павловка
697945,Pasichna,UA,24.430031,48.571522,Пасічна,Пасечная
697953,Parutyne,UA,31.897091,46.705379,Парутине,Парутино
698008,Pantayivka,UA,32.884102,48.674,Пантаївка,Пантаевка
696416,Potok,UA,25.03334,49.512241,Потік,Поток
695305,Rozovka,UA,35.316669,47.216671,Розівка,Розовка
695394,Rosvigovo,UA,22.701941,48.451172,Росвигово,Росвигово
695572,Rodnykivs’ke,UA,33.849998,44.466667,Родниківське,Родниковское
695947,Rabochiy Ugolok,UA,34.400002,44.650002,Робочий куток,Рабочий уголок
695646,Rezervne,UA,33.666668,44.466667,Резервне,Резервное
695347,Rozy Lyuksemburh,UA,34.883331,46.400002,Херсонське,Херсонское
695641,Reshetilovskiy Kut,UA,35.283333,48.666668,Решетилівський Кут,Решетиловский Кут
